Schema,Schema Type,Schema Name,Root Causes (Childhood Drivers),Symptoms & Behavioral Loops,Projections & Manifestations (Psychological/Physiological)
11,Schemas of Resource and Security (Stability & Environment),Safety & Threat Vigilance,"Exposure to violence, instability, or physical danger in the home or neighborhood .",Hyper-vigilance ; difficulty feeling truly safe or relaxed in any environment ; constantly anticipating worst-case scenarios ; struggle with emotional regulation.,"Psychological: PTSD, generalized anxiety, difficulty trusting stability. Physiological: Hyper-arousal, difficulty sleeping, high heart rate, suppressed immune function."
12,Schemas of Well-Being and Engagement (Vitality & Meaning),Chronic Fatigue & Depletion,Unmanaged stress; long-term emotional suppression ; ignoring early physical warning signs .,Persistent low energy ; reliance on stimulants/sedatives; neglecting basic self-care; prioritizing external demands over rest; poor sleep hygiene.,"Psychological: Low mood, irritability, reduced patience. Physiological: Burnout, chronic illness, pain interference, frequent illness."
13,Schemas of Well-Being and Engagement (Vitality & Meaning),Meaning/Purpose Void,Lack of role models for passion/purpose; focus solely on external achievement without internal fulfillment.,Feeling aimless or drifting ; low engagement in daily activities ; inability to define goals ); seeking external novelty without inner satisfaction.,"Psychological: Existential anxiety, depression, restlessness, low optimism. Physiological: Lack of motivation leading to low physical activity."
14,Schemas of Well-Being and Engagement (Vitality & Meaning),Pessimism & Negative Expectancy,Environment of constant criticism or failure without support; emotional dampening .,Expecting negative outcomes; inability to sustain a positive mood; minimizing success; quick discouragement from setbacks .,"Psychological: Low trait optimism, persistent unhappiness, self-fulfilling negative prophecies. Physiological: Increased cortisol (stress hormone) due to constant low mood."
15,Schemas of Well-Being and Engagement (Vitality & Meaning),Grief Suppression & Emotional Numbing,"Unresolved childhood losses (death, separation, abandonment) without space to grieve. ",Difficulty identifying emotions ; emotional rigidity; holding grudges; avoidance of deep relationships ; reliance on logic over feeling.,"Psychological: Difficulty with empathy, emotional flatness, inability to move on. Physiological: Physical blocks, psychosomatic pain, low vitality."
16,Cross-Cutting and Complex Schemas,Disorganized Time/Executive Dysfunction,Undiagnosed ADHD or poor modeling of structure/organization in youth; anxiety causing cognitive overload.,Chronic procrastination (Q33); missing deadlines; inability to focus (Q4); constant feeling of overwhelm; inability to break down complex goals.,"Psychological: Guilt, stress, feeling incompetent. Physiological: High-stress hormones, low energy."
17,Cross-Cutting and Complex Schemas,Avoidance of Responsibility/Accountability,Lack of clear consequences in childhood; high shame leading to deflection.,Blaming external factors for problems; inability to sustain effort ; avoiding decisions ; failing to set boundaries ; financial irresponsibility.,"Psychological: External locus of control, emotional immaturity, failure to mature professionally. Physiological: Low motivation."
18,Cross-Cutting and Complex Schemas,Hyper-Independence/Lack of Trust,Betrayal or repeated disappointment by caregivers or authority figures.,Inability to delegate ; refusing help; difficulty in relationships that require shared vulnerability ; reluctance to trust partners/colleagues.,"Psychological: Isolation, resentment toward others, chronic self-reliance stress. Physiological: High stress, difficulty relaxing."
19,Cross-Cutting and Complex Schemas,Community Disconnection & Apathy,Lack of social integration or modeling of community service; high focus on self-interest due to scarcity.,Low interest in others' lives; reluctance to contribute; feeling detached from local groups/issues ; self-focus over collective good.,"Psychological: Isolation, cynicism, reduced sense of meaning. Physiological: Lack of connection benefits (higher stress)."
20,Cross-Cutting and Complex Schemas,Trauma Core Schema,"Direct exposure to high-impact Adverse Childhood Experiences (abuse, violence, mental illness).",Baseline anxiety ; flashbacks/triggers; chronic self-sabotage; difficulty maintaining stability ; severe distrust; poor emotional regulation.,"Psychological: CPTSD, severe anxiety, depression, mood disorders. Physiological: Autoimmune issues, high pain sensitivity, chronic illness."
